id,premise,hypothesis,label,label_text,source_family_id,profile,difficulty,domain
controlplane-nli-v1-train-b005-000076,Nolan Grant submitted BA-404 materials for applicant Julia Grant under a representation authorization. The record gives no final administrative decision and does not say whether Nolan will continue representing Julia if additional documents are requested.,Nolan Grant will remain Julia Grant's representative throughout any future appeal.,2,neutral,controlplane-nli-v1-train-b005-f019,regulated_decision_support,easy,benefits administration
controlplane-nli-v1-train-b005-000096,"A July note calls Mei Tan the current supervisor of Licensing Secretariat, formerly the Credential Office. The same note says she had served as an analyst before June 15. It gives no end date for her supervisory assignment or indication that the role is temporary.",Mei Tan's supervisory assignment ends on December 31.,2,neutral,controlplane-nli-v1-train-b005-f024,regulated_decision_support,medium,licensing administration
controlplane-nli-v1-train-b002-000009,"Marigold Trust Services received a beneficiary-change packet for account MT-209 on May 6. Identity verification passed on May 7, and a notarized change form was accepted on May 9. The operations note says these steps clear document review, but the beneficiary record changes only after a separate final posting by the account-maintenance team. On May 10 the packet was marked 'document review approved'; no final posting entry appears.",The MT-209 beneficiary-change packet passed the document-review stage.,1,entailment,controlplane-nli-v1-train-b002-f003,customer_support,hard,account servicing
controlplane-nli-v1-train-b003-000064,"An internal memo dated 1 May listed the compliance officer for the Northgate division as R. Chen. A superseding organizational update dated 15 May, marked as authoritative, named T. Osei as the new compliance officer effective immediately. No further updates have been issued since 15 May.",The 1 May memo was issued after the 15 May organizational update.,0,contradiction,controlplane-nli-v1-train-b003-f016,regulated_decision_support,hard,outdated_records
controlplane-nli-v1-train-b006-000072,"Patient chart 88-T notes a daily recommended calcium intake of 1,200 mg. The patient currently takes a morning supplement of 500 mg and gets 350 mg from their diet. The physician advised not to exceed the recommended limit.","The physician recommended taking an evening supplement to reach the 1,200 mg target.",2,neutral,controlplane-nli-v1-train-b006-f018,regulated_decision_support,easy,healthcare
controlplane-nli-v1-train-b001-000076,"Synthetic application LN-205 has a requested payment of $1,450 and verified monthly income of $6,200. Cobalt Shore's exercise rule requires secondary affordability review only above $1,600. The record says no such review is required, but it gives no final application outcome.",Cobalt Shore rejected the synthetic lending application LN-205.,2,neutral,controlplane-nli-v1-train-b001-f019,regulated_decision_support,easy,lending
controlplane-nli-v1-train-b005-000033,Customer Mina Park uploaded an employment letter to case SP-552. The letter was authored by GroveWorks HR and states that Mina remains employed through December. Support agent Joel Neri did not write the letter; he only summarized its contents in the case notes. His summary attributes the employment statement to GroveWorks HR.,GroveWorks HR authored the employment letter uploaded by Mina Park.,1,entailment,controlplane-nli-v1-train-b005-f009,customer_support,hard,support documentation
controlplane-nli-v1-train-b002-000092,BLA-17 passed the Blue Lantern Arts Fund intake check with the required two letters and one portfolio. The record names Morgan Hale and Priya Dent as referees. It does not say whether either referee has served on a prior Blue Lantern review panel.,Morgan Hale previously served on a Blue Lantern review panel.,2,neutral,controlplane-nli-v1-train-b002-f023,regulated_decision_support,easy,scholarship review
controlplane-nli-v1-train-b003-000059,"Ticket HD-3301 was filed by user tlee reporting a printer offline issue in office suite 4B, assigned to technician Osei and resolved same day. A separate ticket, HD-3302, filed minutes later by user tlee, reports a scanner malfunction in the same suite and remains open, assigned to technician Farah. Suite 4B's printer has shown no further issues since resolution.",Technician Farah has previously worked on equipment issues in suite 4B before this ticket.,2,neutral,controlplane-nli-v1-train-b003-f015,internal_assistant,hard,similar_tickets
controlplane-nli-v1-train-b003-000100,"Substation SS-6 experienced a fault at 04:12 that tripped breaker B-3, cutting power to the north grid segment. Crews restored partial power at 05:50 by rerouting through backup breaker B-3A, and full restoration to all affected customers was logged at 07:15. A separate, unrelated fault at substation SS-9 was resolved at 06:00 the same morning.",Partial power restoration at SS-6 occurred before full restoration was completed.,1,entailment,controlplane-nli-v1-train-b003-f025,regulated_decision_support,hard,incident_timeline_multi
controlplane-nli-v1-train-b006-000028,"Account holder 55-TR initiated a wire transfer of 8,000 EUR on Tuesday at 14:00. The standard transfer fee is 1.5% of the total amount. Because the holder has Premium Status, the fee is reduced by 0.5 percentage points. The daily limit for outgoing transfers is 10,000 EUR.","Account holder 55-TR has 2,000 EUR of daily transfer limit remaining after the 8,000 EUR transfer.",1,entailment,controlplane-nli-v1-train-b006-f007,customer_support,hard,banking
controlplane-nli-v1-train-b004-000077,"The Merit Foundation Scholarship requires applicants to possess a minimum unweighted GPA of 3.5. In addition to the academic threshold, applicants must log at least 50 hours of documented community service. Applicant Jessica has an unweighted GPA of 3.8 and has submitted documentation for 40 hours of community service.",Jessica fails to meet all the necessary requirements for the Merit Foundation Scholarship.,1,entailment,controlplane-nli-v1-train-b004-f020,regulated_decision_support,easy,Education
controlplane-nli-v1-train-b004-000046,The standard travel policy limits hotel expense reimbursements to $200 per night. Employees traveling to designated high-cost cities have a limit of $300 per night. Any expense exceeding these limits must have a documented exception signed by a Vice President prior to booking. Employee Sarah booked a $350 per night hotel in a high-cost city without obtaining a Vice President's signature.,Sarah is fully authorized by the travel policy to receive a $350 reimbursement.,0,contradiction,controlplane-nli-v1-train-b004-f012,internal_assistant,easy,Travel & Expenses
controlplane-nli-v1-train-b005-000062,Mara Ives is the claimant and person who incurred the expenses in EX-315. Devon Ives is her assistant and merely filed the claim for her. Soren Pike is the finance analyst who approved it. Submitting the form did not make Devon the owner of the underlying expense claim.,Devon Ives incurred the expenses claimed in EX-315.,0,contradiction,controlplane-nli-v1-train-b005-f016,internal_assistant,hard,expense administration
controlplane-nli-v1-train-b001-000008,"The dispute file for invoice INV-771 says a $240 setup fee was challenged by Crestwell Studio. Blue Harbor Office Systems removed that fee, leaving a balance of $1,160. The due date remained 2026-08-18 after the adjustment. A renewed support plan was not part of the disputed amount.","The invoice balance after the fee removal was $1,160.",1,entailment,controlplane-nli-v1-train-b001-f002,customer_support,easy,invoice disputes
controlplane-nli-v1-train-b006-000055,"Project Gamma requires coding 400 modules. By the end of sprint 1, 120 modules were completed. In sprint 2, the team finished another 80 modules. The remaining modules are scheduled for sprint 3.",The team experienced delays in sprint 2 due to server outages.,2,neutral,controlplane-nli-v1-train-b006-f014,internal_assistant,medium,project_management
controlplane-nli-v1-train-b003-000098,"Substation SS-6 experienced a fault at 04:12 that tripped breaker B-3, cutting power to the north grid segment. Crews restored partial power at 05:50 by rerouting through backup breaker B-3A, and full restoration to all affected customers was logged at 07:15. A separate, unrelated fault at substation SS-9 was resolved at 06:00 the same morning.",The SS-9 fault was caused by the same event that tripped breaker B-3 at SS-6.,0,contradiction,controlplane-nli-v1-train-b003-f025,regulated_decision_support,hard,incident_timeline_multi
controlplane-nli-v1-train-b003-000077,"The HVAC system at the Bellview office is scheduled for a maintenance window every Sunday from 22:00 to 02:00. Last Sunday's session began on time but ran long, ending at 03:15 due to a compressor issue requiring extra diagnostics. No tenant complaints were logged during or after the extended window.",Last Sunday's maintenance window ran longer than its regularly scheduled duration.,1,entailment,controlplane-nli-v1-train-b003-f020,customer_support,easy,maintenance_windows
controlplane-nli-v1-train-b003-000094,"A capacity planning spreadsheet dated 10 March lists database cluster DC-7 as having 40% headroom remaining. A separate monitoring dashboard, refreshed live and checked on 15 March, shows DC-7 headroom at 22% due to increased load from a new service rollout. No update has been made to the spreadsheet since 10 March.",The 10 March spreadsheet is the most current source of DC-7's headroom value.,0,contradiction,controlplane-nli-v1-train-b003-f024,internal_assistant,hard,capacity_allocation_conflict
controlplane-nli-v1-train-b003-000060,"Ticket HD-3301 was filed by user tlee reporting a printer offline issue in office suite 4B, assigned to technician Osei and resolved same day. A separate ticket, HD-3302, filed minutes later by user tlee, reports a scanner malfunction in the same suite and remains open, assigned to technician Farah. Suite 4B's printer has shown no further issues since resolution.",Both tickets HD-3301 and HD-3302 were filed by the same user.,1,entailment,controlplane-nli-v1-train-b003-f015,internal_assistant,hard,similar_tickets
controlplane-nli-v1-train-b002-000050,"Two Larchmont Bio employees share the name Jordan Lee. Quality Assurance employee JL-204 is based at Riverside, while Finance employee JL-771 is based at Harbor. A June mobility form names JL-204 and approves Summit-site duty for July 8 to August 2. No June mobility form is recorded for JL-771.","The Finance employee Jordan Lee, key JL-771, received the Summit-site assignment.",0,contradiction,controlplane-nli-v1-train-b002-f013,internal_assistant,hard,human resources
controlplane-nli-v1-train-b002-000091,"Blue Lantern Arts Fund marked BLA-17 complete after receiving two reference letters and one portfolio file, matching the synthetic intake requirements. The completeness record does not include any panel score or ranking.",BLA-17 received the highest panel score among all fellowship applications.,2,neutral,controlplane-nli-v1-train-b002-f023,regulated_decision_support,easy,scholarship review
controlplane-nli-v1-train-b003-000072,"The Q3 network upgrade for branch office BR-12 was scheduled for completion by 30 September. Project tracking shows the cabling phase finished on 12 September, but the switch configuration phase, originally planned for 20 September, was delayed and completed on 4 October instead. No other phases were affected.",The cabling phase was completed before the switch configuration phase was originally scheduled to begin.,1,entailment,controlplane-nli-v1-train-b003-f018,internal_assistant,medium,scheduled_vs_completed
controlplane-nli-v1-train-b001-000058,"Kestrel Point compares two logistics vendors. Ardent Freight records 96% on-time delivery and an 8.7 quality score; Brindle Logistics records 93% and 9.1 respectively. Because on-time delivery receives the greatest weight, the memo recommends a one-year extension for Ardent.",Brindle Logistics has the higher on-time delivery rate.,0,contradiction,controlplane-nli-v1-train-b001-f015,internal_assistant,medium,vendor management
controlplane-nli-v1-train-b004-000035,Digital movie rentals can be refunded if the viewer has watched less than 15% of the total runtime and the request is made within 48 hours of purchase. User Elena rented a 120-minute movie yesterday and watched 20 minutes of it before requesting a refund today.,Elena stopped watching the movie because her streaming application crashed.,2,neutral,controlplane-nli-v1-train-b004-f009,customer_support,medium,Digital Media
controlplane-nli-v1-train-b001-000038,"Requisition PR-602 covers 40 ergonomic chairs for CinderWorks. The approved order is with Alder & Finch at a unit price of $310, with delivery requested by 2026-09-15. Mono Ridge participated as another bidder and offered cheaper freight, but the selection record does not award the order to it.",Mono Ridge was selected as the supplier for PR-602.,0,contradiction,controlplane-nli-v1-train-b001-f010,internal_assistant,easy,procurement
controlplane-nli-v1-train-b006-000019,"The annual membership fee is $120. If a member cancels before the end of month 6, they receive a 50% refund. If they cancel during month 7 or 8, they receive a 25% refund. No refunds are issued for cancellations after month 8. Member X canceled in month 7.",Member X canceled their annual membership because they relocated.,2,neutral,controlplane-nli-v1-train-b006-f005,customer_support,medium,memberships
controlplane-nli-v1-train-b001-000085,"Stonebridge Works' synthetic benefits file lists employee plan E-17 with a yearly education allowance of $1,200. The ledger shows $450 reimbursed in February and $300 reimbursed in June, leaving $450 available for the plan year. A pending course request for $500 has not yet been approved or rejected.",Plan E-17 has $450 of education allowance remaining before the pending request is decided.,1,entailment,controlplane-nli-v1-train-b001-f022,regulated_decision_support,medium,employee benefits
controlplane-nli-v1-train-b003-000076,Vendor Kestrel Supply's warehouse in Dallas reported zero backorders for item SKU-8842 as of 1 June. A separate Kestrel Supply facility in Reno reported the same SKU with 40 units on backorder as of the same date. Orders routed through the central procurement system default to whichever facility has the shorter transit time to the requesting site.,The Dallas warehouse had no outstanding backorders for SKU-8842 as of 1 June.,1,entailment,controlplane-nli-v1-train-b003-f019,regulated_decision_support,hard,two_vendor_locations
controlplane-nli-v1-train-b002-000080,The NM-88 policy ledger shows suspension from November 4 until an accepted reinstatement payment at 14:30 on November 9. The reinstatement rule allows payment through November 13 and does not backdate active status. No material in the file states whether the policyholder attempted an earlier payment.,The policyholder attempted to pay NM-88 on November 6.,2,neutral,controlplane-nli-v1-train-b002-f020,regulated_decision_support,medium,insurance
controlplane-nli-v1-train-b005-000034,"In SP-552, Mina Park is the customer who uploaded a letter, but GroveWorks HR is identified as the document's author. Joel Neri, the support agent, later summarized the letter and clearly attributed its employment statement to GroveWorks HR. Uploading and summarizing are recorded as different actions from authoring.",Mina Park authored the employment letter because she uploaded it to the support case.,0,contradiction,controlplane-nli-v1-train-b005-f009,customer_support,hard,support documentation
controlplane-nli-v1-train-b003-000066,"The support contract for client Halden Corp guarantees a response time of under 4 hours for priority-1 tickets. Ticket PR-8820, classified priority-1, was submitted at 13:00 and received its first agent response at 15:40. The ticket was fully resolved at 19:15 the same day.","The ticket's first response arrived more than 4 hours after submission, breaching the service level.",0,contradiction,controlplane-nli-v1-train-b003-f017,customer_support,easy,sla_response
controlplane-nli-v1-train-b002-000083,"Cedar Vale Health Administration records CVH-72 with an active referral covering March 10 and a request for four therapy visits. The block limit is six, and no prior visits are recorded against it. The excerpt does not identify which therapy provider the member intends to use.",The member will receive therapy from Harbor Motion Clinic.,2,neutral,controlplane-nli-v1-train-b002-f021,regulated_decision_support,medium,healthcare administration
controlplane-nli-v1-train-b003-000018,"Access log AC-902 shows user jsingh was granted level-2 read access to the finance repository at 08:14 on 3 June. At 08:50, an elevation request to level-3 write access was submitted but remained pending approval. At 11:30 the same day, admin patel approved a level-2 access renewal for jsingh, unrelated to the pending elevation request.",The level-3 write access elevation request was approved at 11:30 on 3 June.,0,contradiction,controlplane-nli-v1-train-b003-f005,internal_assistant,hard,access_control
controlplane-nli-v1-train-b005-000070,"Hana Roe requested that AR-61 be deleted. The records administrator acknowledged the request but lacked the authorization required for deletion, so only a metadata export was completed. The case status remains deletion awaiting authorization.",AR-61 was deleted after Hana Roe submitted the request.,0,contradiction,controlplane-nli-v1-train-b005-f018,internal_assistant,hard,records administration
controlplane-nli-v1-train-b002-000064,"For mileage cases, Ashford Engineering converts kilometers at 1 mile per 1.6 kilometers. AE-51 contains 80 approved kilometers, which the reimbursement worksheet records as 50 miles. The mileage rate is $0.60 per mile, and the approved mileage payment is $30.00.",AE-51's approved mileage payment was $48.00.,0,contradiction,controlplane-nli-v1-train-b002-f016,internal_assistant,medium,expense reimbursement
controlplane-nli-v1-train-b002-000066,Granite Hollow Foods' controlled register lists SP-8 revision 6 as effective July 1 and is designated as authoritative when repository statuses disagree. A local team folder still displays revision 5 as current because its copy was not updated. The governance rule says the controlled register governs the discrepancy.,Revision 5 is the authoritative current version of SP-8.,0,contradiction,controlplane-nli-v1-train-b002-f017,internal_assistant,medium,compliance documentation
controlplane-nli-v1-train-b004-000087,"Approval for a conventional mortgage product requires the applicant to provide a minimum 20% down payment and maintain a debt-to-income (DTI) ratio below 36%. If either condition is not met, the applicant must apply for an FHA loan instead. Applicant Kevin is offering a 25% down payment but has a calculated DTI ratio of 42%.",Kevin decided to abandon his house search instead of applying for an FHA loan.,2,neutral,controlplane-nli-v1-train-b004-f022,regulated_decision_support,medium,Mortgage Underwriting
controlplane-nli-v1-train-b003-000016,Parcel PZ-5590 was handed off from courier DashLine to regional hub Bexley at 14:20 on Tuesday. The hub scanned the parcel into the sorting facility at 14:32 and released it to last-mile courier QuickHop at 16:05 the same day. QuickHop confirmed delivery to the recipient at 17:48.,Final delivery occurred more than three hours after the parcel arrived at hub Bexley.,1,entailment,controlplane-nli-v1-train-b003-f004,customer_support,easy,shipment_custody
controlplane-nli-v1-train-b003-000003,Ticket INC-7741 was opened at 09:12 when subscribers in Zone C reported dropped calls. Field technician Rao arrived on site at 10:05 and replaced a faulty duplexer on tower TW-22 by 11:40. Service was confirmed restored at 12:03 after a network sweep found no further drops. The postmortem notes the root cause as thermal drift in the duplexer during the heat wave.,Technician Rao also inspected the backup generator at the TW-22 site.,2,neutral,controlplane-nli-v1-train-b003-f001,customer_support,medium,telecom_incident
controlplane-nli-v1-train-b002-000005,"Oriole Grid Cloud's June invoice for tenant OG-77 lists 1,200,000 API calls. The contract includes the first 800,000 calls in the base fee and bills the next 500,000 calls at $0.002 per call. The billing worksheet therefore treats 400,000 calls as chargeable overage and calculates $800 in usage charges. A separate $120 support add-on is undisputed.","The June billing worksheet treated 400,000 API calls as chargeable overage for tenant OG-77.",1,entailment,controlplane-nli-v1-train-b002-f002,customer_support,hard,invoice disputes
controlplane-nli-v1-train-b002-000013,Quillstream Analytics offers a 21-day evaluation plan that can be ended immediately without a renewal charge. Workspace QA-54 began its evaluation on July 1 and submitted a cancellation request on July 18. The account log shows 'evaluation cancellation accepted' and sets access to end on July 18 at 23:59. A sales note about a possible annual plan was added earlier but was never converted into an order.,Workspace QA-54 qualified for immediate cancellation during its 21-day evaluation period.,1,entailment,controlplane-nli-v1-train-b002-f004,customer_support,medium,subscription cancellation
controlplane-nli-v1-train-b006-000024,"Guest reservation 11-A was originally booked for 4 nights at $150 per night. On the second day, the guest extended the stay by 2 nights at a discounted rate of $100 per night. The guest also accumulated $45 in room service charges.",The guest extended their stay by 2 nights.,1,entailment,controlplane-nli-v1-train-b006-f006,customer_support,medium,hospitality
controlplane-nli-v1-train-b004-000060,"The internal promotion rubric requires candidates for the Senior Analyst role to score at least 85 out of 100 on the technical assessment. Furthermore, candidates must have either three years of internal tenure or a bilingual certification. Candidate Tom scored 90 on the assessment, has two years of internal tenure, and holds a bilingual certification in Spanish.",Tom failed to meet the technical assessment threshold required for promotion.,0,contradiction,controlplane-nli-v1-train-b004-f015,internal_assistant,medium,Human Resources
controlplane-nli-v1-train-b001-000067,VelaStone records Ishan Ro's 2026-07-28 signature on Data Handling and Mina Sol's 2026-08-03 signature on Supplier Conduct. Each review requires its own attestation signature before closure. The file does not provide the closure date for either review.,The Supplier Conduct review closed on 2026-08-04.,2,neutral,controlplane-nli-v1-train-b001-f017,internal_assistant,hard,compliance documentation
controlplane-nli-v1-train-b003-000040,Employee Meera Nair completed the forklift safety certification course on 10 January 2025. The certification is valid for 18 months from the completion date. HR records show no renewal has been filed as of the most recent audit on 5 July 2026.,The certification is valid for exactly one and a half years from completion.,1,entailment,controlplane-nli-v1-train-b003-f010,internal_assistant,easy,training_certification
controlplane-nli-v1-train-b004-000054,"To hire a new contractor, a manager must submit a requisition form. If the manager approves, the form moves to the Finance department for budget verification. A contractor cannot begin work until Finance grants final authorization. Manager Lisa approved a requisition for a new contractor on Monday. The form is currently in the Finance department's queue for review.",Final authorization for the contractor to begin work was completed on Monday.,0,contradiction,controlplane-nli-v1-train-b004-f014,internal_assistant,medium,Procurement
controlplane-nli-v1-train-b002-000052,"The approved Larchmont Bio mobility form is keyed to JL-204, the Quality Assurance employee named Jordan Lee. It covers Summit-site work from July 8 through August 2. The other Jordan Lee, JL-771 in Finance, remains listed at Harbor and has no mobility form in the same file.",Both Larchmont Bio employees named Jordan Lee were approved for Summit-site duty.,0,contradiction,controlplane-nli-v1-train-b002-f013,internal_assistant,hard,human resources
controlplane-nli-v1-train-b002-000037,"Falconridge Components evaluated three bids for requisition FR-902. The sourcing rule requires a security certificate before a supplier can enter commercial ranking. Cedar Metric passed the certificate check and received a technical score of 84 and a price score of 92; its weighted score was recorded as 87.2. The committee advanced Cedar Metric to the commercial shortlist, but the award decision is scheduled for a later meeting.",Cedar Metric was advanced to the commercial shortlist for requisition FR-902.,1,entailment,controlplane-nli-v1-train-b002-f010,internal_assistant,medium,procurement
controlplane-nli-v1-train-b005-000023,"EC-94 contains Nira Dey's recommendation for a one-month extension and Colin Voss's acknowledgment that the recommendation is awaiting decision. The customer has a callback scheduled, but the case excerpt does not show what Colin will decide later or whether another supervisor will take over the escalation.",Colin Voss will approve the extension before the scheduled callback.,2,neutral,controlplane-nli-v1-train-b005-f006,customer_support,medium,service escalation
controlplane-nli-v1-train-b003-000021,"Release v4.2.1 was deployed to the production cluster at 03:00 UTC on 9 August. Error rates spiked to 12% within 20 minutes, triggering an automatic rollback to v4.1.9 at 03:35. The engineering team later deployed a hotfix, v4.2.2, at 09:10 UTC after resolving the root cause identified in the incident review.",The production cluster was running v4.1.9 at 03:35 UTC on 9 August.,1,entailment,controlplane-nli-v1-train-b003-f006,regulated_decision_support,medium,software_deployment
controlplane-nli-v1-train-b005-000035,SP-552 contains a GroveWorks HR letter uploaded by Mina Park and a later summary written by support agent Joel Neri. The summary says the employer reported continued employment through December. The excerpt does not identify the individual HR employee who drafted or signed the original letter.,GroveWorks HR employee Tessa Rowan personally signed the uploaded letter.,2,neutral,controlplane-nli-v1-train-b005-f009,customer_support,hard,support documentation
controlplane-nli-v1-train-b001-000054,"In HelioForge's August report, Nova finished 18 of 20 planned tasks and Vale finished 14 of 16. The report calculates completion as 90% for Nova and 87.5% for Vale. The risk register separately shows one open supplier issue for Nova and two for Vale.",Workstream Vale has a higher completion percentage than Workstream Nova.,0,contradiction,controlplane-nli-v1-train-b001-f014,internal_assistant,medium,project reporting
controlplane-nli-v1-train-b002-000089,"Blue Lantern Arts Fund runs a synthetic fellowship completeness check requiring exactly two reference letters and one portfolio file. Application BLA-17 contains reference letters from Morgan Hale and Priya Dent, plus one portfolio file named portfolio-v3.pdf. The intake system marks the application complete for panel review. Interview scheduling is not part of the completeness check.",Application BLA-17 contains exactly two reference letters.,1,entailment,controlplane-nli-v1-train-b002-f023,regulated_decision_support,easy,scholarship review
controlplane-nli-v1-train-b001-000005,"Blue Harbor Office Systems reviewed invoice INV-771 after Crestwell Studio disputed a setup fee. The billing memo states that the $240 setup fee was removed in full. The remaining invoice balance is $1,160 and is still due on 2026-08-18. A separate note says the support plan was renewed for another quarter.",Blue Harbor removed the full $240 setup fee from invoice INV-771.,1,entailment,controlplane-nli-v1-train-b001-f002,customer_support,easy,invoice disputes
controlplane-nli-v1-train-b002-000010,"For account MT-209, Marigold Trust Services completed identity verification and accepted the notarized beneficiary-change form. The workflow distinguishes document approval from the later account-maintenance posting. The May 10 status is 'document review approved,' while the file contains no account-maintenance posting that would make the change final.",The beneficiary change for MT-209 was already finalized in the account record on May 10.,0,contradiction,controlplane-nli-v1-train-b002-f003,customer_support,hard,account servicing
controlplane-nli-v1-train-b004-000061,"The software deployment protocol dictates that all five senior developers on the core team must sign off on the final code review before a major release can be pushed to production. If even one senior developer rejects the review, the release is blocked. Four senior developers have signed off on the 2.0 release, while the fifth is currently reviewing it.",The 2.0 release is not yet authorized to be pushed to production.,1,entailment,controlplane-nli-v1-train-b004-f016,internal_assistant,hard,Software Engineering
controlplane-nli-v1-train-b003-000029,"The build cluster has a total capacity of 200 vCPUs. Team Atlas currently has 75 vCPUs allocated, and team Orion has 60 vCPUs allocated. A pending request from team Lyra for 50 vCPUs has not yet been approved. Capacity planning notes indicate that any remaining unallocated vCPUs are held in reserve for emergency scaling.",At least 60 vCPUs of the cluster's total capacity are currently unallocated.,1,entailment,controlplane-nli-v1-train-b003-f008,internal_assistant,medium,resource_capacity
controlplane-nli-v1-train-b005-000043,"In June, Lena Wu is Program Lead and Omar Vale is Operations Manager. Lena previously held Omar's current role until April 30. The directory excerpt does not provide either employee's compensation, reporting-line changes, or the reason Lena moved into the Program Lead position.",Lena Wu changed roles because she was promoted after a performance review.,2,neutral,controlplane-nli-v1-train-b005-f011,internal_assistant,easy,human resources
controlplane-nli-v1-train-b006-000042,"The marketing budget for Q3 is $50,000. $20,000 is allocated to social media ads, and $15,000 is allocated to email campaigns. The rest is reserved for event sponsorships. At the end of July, $8,000 had been spent on social media ads.","There is $10,000 left unspent in the social media ads allocation at the end of July.",0,contradiction,controlplane-nli-v1-train-b006-f011,internal_assistant,easy,finance
controlplane-nli-v1-train-b002-000011,"Marigold Trust Services logged the MT-209 beneficiary-change packet as received on May 6. Identity verification passed the next day, the notarized form was accepted on May 9, and document review was approved on May 10. Final posting is handled separately by account maintenance. The case file does not identify which account-maintenance analyst, if any, will perform that posting.",Analyst Rowan Pike is assigned to perform the final MT-209 beneficiary posting.,2,neutral,controlplane-nli-v1-train-b002-f003,customer_support,hard,account servicing
controlplane-nli-v1-train-b006-000061,"The annual compliance training requires a total of 12 hours. Employee 908 completed 3.5 hours on Monday, 4.5 hours on Tuesday, and 2 hours on Thursday. The training portal limits users to a maximum of 5 hours per day.",Employee 908 has 2 hours of compliance training left to complete.,1,entailment,controlplane-nli-v1-train-b006-f016,internal_assistant,hard,training
